Code,Description
35Q,"Aztec Worldwide Airlines, Inc.  d/b/a  Aztec Airways"
36Q,Air Hamburg Luftverkehrsgesellschaft mbH
37,Zeal 320
37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC"
38Q,Key Lime Air Corporation
39Q,"ADVANCED AIR, LLC"
3AA,"Airgate Aviation, Inc."
3AQ,"Maritime Helicopters, Inc."
3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air"
3C,"Regions Air, Inc."
3CQ,"Andrew Airways, Inc."
3DQ,"Rectrix Aviation, Inc."
3E,"Multi-Aero, Inc. d/b/a Air Choice One"
3EQ,"Scott Aviation, LLC  d/b/a  Silver Air"
3F,"Pacific Airways, Inc."
3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge"
3GQ,"Aviateca, S.A."
3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service
3KQ,"Junipogo, LLC"
3M,Silver Airways
3S,AeroLogic GmbH
3SD,Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane
3U,Sichuan Airlines Co Ltd.
3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
4B,Boutique Air
4C,Aerovias de Intergracian Regional
4E,Tanana Air Service
4EQ,Tanana Air Service
4H,Belize Trans Air
4M,LAN Argentina
4N,Air North
4O,ABC Aerolineas SA de CV dba Interjet
4R,Regent Air Corporation
4S,Sol Air (Aero Hunduras)
4T,Belair Airlines Ltd.
4W,Warbelow
4Y,EUROWINGS DISCOVER GmbH
5B,Bellair Inc.
5C,Challenge Airlines (IL) Ltd.
5D,Aerolitoral
5F,Arctic Circle Air Service
5G,"Skyservice Airlines, Inc."
5J,Cebu Air Inc d/b/a Cebu Pacific Air
5L,Aerosur
5T,Air America
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
5X,United Parcel Service
5Y,Atlas Air Inc.
6A,Aviacsa Airlines
6B,TUIfly Nordic A.B.
6C,Cape Smythe Air Service
6F,Laker Airways Inc.
6H,Israir Airlines
6O,ORBEST AIRLINE
6P,Pacific East Air Inc.
6R,Aerounion Aerotransporte de Carga Union SA de CV
6U,Air Ukraine
6Y,Nicaraguense De Aviacion Sa
7B,Krasair
7C,Jeju Air Co Ltd.
7F,First Air
7G,MK Airlines Ltd.
7H,"Northern Pacific Airways, Inc. Dba  Ravn Alaska"
7I,Insel Air International B V
7J,Skagway Air Service
7L,Silk Way West Airlines
7M,Aeromonterrey S.A.
7N,Inland Aviation Services
7P,Apa International Air S.A.
7Q,Pan American World Airways Dominicana
7S,Ryan Air f/k/a Arctic Transportation
7Z,Lb Limited
8C,Air Transport International
8D,"Dynamic Aviation, Inc. d/b/a Beacon"
8E,Bering Air Inc.
8F,Wilburs Inc.
8I,Inselair Aruba NV
8J,Jetall Airways
8L,Servicio Aereo Leo Lopez
8N,Flagship Airlines Inc.
8Q,Baker Aviation Inc.
8R,Edelweiss Air Ag
8V,Wright Air Service
8W,Fly Airways NV
9E,Endeavor Air Inc.
9I,Island Air Service
9J,Pacific Island Aviation
9K,Cape Air
9L,Colgan Air
9M,Central Mountain Air
9N,ANA & JP Express Co. Ltd.
9R,Flagship Express Services
9S,Southern Air Inc.
9T,"TravelspanGT, Inc. S.A."
9V,"Avior Airlines, C.A."
9W,Jet Airways (India) Limited
9X,"Southern Airways Express, dba Mokulele Airlines"
A0,Elysair d/b/a L'Avion
A2,Cielos De Peru
A4,Southern Wind Airlines
A7,Air Comet S.A.
AA,American Airlines Inc.
AAA,Associated Aviation Act.
AAB,Abelag Aviation AG
AAE,AAA Airlines
AAI,Audi Air Inc.
AAL,Argosy Air Lines Inc.
AAP,Armstrong Air Service Inc.
AAQ,Advance Air Charters
AAR,Altair Airlines Inc.
AAT,Air Sunshine Inc.
AAV,Alpine Air
AAZ,Alaska Aeronautical Indust.
AB,Air Berlin PLC and CO
ABH,Air Bahia
ABI,Airbama Incorporated
ABO,Aeronaves Boringuena Inc.
ABQ,Aeromar C. Por A.
ABX,ABX Air Inc
AC,Air Canada
ACA,Alaska Central Airways Inc.
ACD,Academy Airlines
ACG,Air Cargo Express Inc.
ACH,Island Airlines Hawaii Inc.
ACI,AAA-Action Air Carrier Inc.
ACJ,Atlantic Coast Jet Inc.
ACK,Air Central Inc.
ACL,Check-Air Inc.
ACN,Alliance Airlines
ACO,Air Cargo Enterprises Inc.
ACP,Air Chaparral Inc.
ACQ,Aeronautica De Cancun
ACS,Alamo Commuter Airlines
ACT,Air Central Inc.
ACW,Transwest Air Express
AD,Azul Linhas Aereas Brazileiras S A
ADB,Antonov Company
ADQ,Aeronaves Del Peru
ADR,Adirondack Airlines
ADV,Advantage Airlines
AE,Air Europe Limited
AEC,Astec Air East Inc.
AED,Air East Of Delaware Inc.
AEF,Aero Freight
AEO,Aero Coach
AEQ,Air Caravane Inc.
AEX,Air Excursions LLC
AF,Compagnie Natl Air France
AFA,American Flag Airlines Inc.
AFE,Air Florida Express
AFG,American Flight Group
AFQ,Aero B Venezuela C.A.
AFS,Arcata Flying Service
AG,Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines
AGA,Air Cargo America Inc.
AGL,Atlantic Gulf Airlines
AGQ,Argo S. A.
AHA,Air Alpha
AHC,Air Hawaii
AHQ,Air National
AI,National Aviation Company of India Limited d/b/a Air India
AIA,All Island Air
AIC,Air Caribbean
AIE,Air Express Inc.
AIG,Airgo Inc.
AIK,Air Ketchum Idaho Inc.
AIM,Air Mont. Inc.
AIN,Air Indiana
AIQ,Norontair
AIT,Airways International
AIY,Alliance Air
AJ,Air Micronesia Inc.
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
AKQ,Airmark Airlines Inc.
AKS,Alaska Seaplane Service
AL,Skyway Airlines
ALD,Allied Airlines
ALE,Air-Lift Associates Inc.
ALI,Brandt Air
ALK,Air Link Airways
ALL,All Seasons Air Pacific
ALQ,Alliance Executive Jets Ltd.
ALS,Air L.A.
ALT,Altus Airlines
ALU,Aleutian Air
ALX,Atlanta Express
AM,Aeromexico
AMA,North American Airlines Inc.
AME,Americair Inc.
AMI,American Inter-Island Inc.
AMQ,Ameristar Air Cargo
AMR,AvAir
AMT,American Air Transport
AMW,Air Midwest Inc.
AN,"ADVANCED AIR, LLC"
ANB,Air Nebraska Inc.
ANC,Atlantic Air
AND,Southcentral Air Inc.
ANE,Pacific Wings Airlines
ANI,Dash Air Corporation
ANM,Airways Of New Mexico Inc.
ANO,Metro Air Northeast Vermont
ANQ,"Aeronaves Tsm, S.A. De C.V."
ANT,Air North/Nenana
AO,Aviacion Y Comercio S.A.
AOI,Trans New York
AON,Action Airlines
AOQ,Avon Jet AG
AOR,Air New Orleans
AP,Aeromexpress
APC,Air Puerto Rico Airlines
APE,Air Cape
APH,Alpha Air
API,Arizona Pacific Inc.
APL,Appalachian Flying Service
APN,Aspen Airways Inc.
APQ,Alas De Transporte International
APS,Air Spirit Inc.
APY,Air Polynesia Inc.
AQ,Aloha Airlines Inc.
AQQ,Air Charter (Safa)
AR,Aerolineas Argentinas
ARA,Air Resorts Airlines
ARB,Air Caribe International
ARD,Airlift International
ARI,Arizona Aero Corp.
ARM,Airmarc Airlines Inc.
ARN,Arnold Aviation
ARO,Air Oregon
ARP,Airspur Helicopters Inc.
ARQ,Aerovias Colombianas Arca
ARR,Arrowhead Airways Inc.
ARS,Air Sedona
ARZ,Arizona Airways
AS,Alaska Airlines Inc.
ASC,Air South Inc.
ASD,Amistad Airlines
ASE,Arctic Circle Air Service
ASH,Air South
ASI,Alpine Air Services Inc.
ASN,Air Casino
ASP,Asap Air Inc.
ASQ,Aerosur
ASR,Astor Air
AST,Astro Airways
ASU,Air South
ASV,"Air Vegas, Inc."
ASW,Sunrise Airlines Inc.
AT,Royal Air Maroc
ATA,Atlantic Southeast Airlines
ATD,Atlantic Coast Airlines
ATH,Air Southeast
ATI,"Air Trails, Inc."
ATN,Air Atlantic Airlines Inc.
ATO,Pacific National Airways
ATQ,Bairline Fluggesellschaft
ATS,Atlantis Airlines Inc.
ATT,Aerotransit Inc.
ATX,Air Carolina
AUQ,Antonov Design Bureau
AUX,Austin Express Inc.
AV,Aerovias Nacl De Colombia
AVA,Air Vectors Airways
AVC,Av Center Inc.
AVG,Airvantage
AVI,Aero Virgin Islands Corp.
AVL,Aviation Sales
AVQ,Aero Laguna S.A. De C.V.
AVR,Air Vermont Inc.
AVS,Aviation Services
AVZ,Southern Jersey Airways
AWA,Air West Airlines
AWQ,Aermediterranea S.P.A.
AX,Trans States Airlines
AXQ,Aeron International Airlines Inc.
AY,Finnair Oy
AYQ,Aerodan S.A. De C.V.
AZ,Italia Transporto Aereo S.P.A DBA ITA S.P.A
AZE,Arizona Express
AZP,Arizona Pacific Airways
AZQ,Anglo Airlines Ltd.
B0,Dreamjet SAS Dba La Compagnie
B4,Globespan Airways Limited d/b/a Flyglobespan
B6,JetBlue Airways
B8,Caribbean Airline Company
BA,British Airways Plc
BAA,Aero International Airlines
BAC,Business Aircraft Corp.
BAH,Brennan & Hargreaves Inc.
BAK,Bankair Inc.
BAN,Bangor International Air
BAQ,Aero Rentas De Coahuila S.A. De C.V.
BAR,Bard-Air Corp.
BAS,Baranautica Air Service LLC
BAT,West Penn Commuter
BAY,Burlington Aeroplane Co.
BBQ,Balair Ag
BC,Skymark Airlines Inc.
BCA,Baja Cortez Airlines
BCQ,Bradley Air Services Ltd.
BD,British Midland Airways Ltd.
BDE,Jet Express
BDQ,Aerotaxis De Aguascalientes S.A. De C.V.
BE,Braniff International Airlines Inc.
BEA,Business Express Airlines
BEL,Bellair Inc.
BEN,Bennington Aviation Inc.
BEQ,Air Belgium
BER,Bering Air Inc.
BES,Aeroservices Executive
BEY,Beyer Aviation
BF,French bee
BFG,Million Air
BFQ,Buffalo Airways Inc.
BG,Biman Bangladesh Airlines
BGQ,Airbus Transport Internat'l
BHK,Blackhawk Airways Inc.
BHO,Bighorn Airways Inc.
BHQ,Turks Air Ltd.
BIA,Big Island Air
BIQ,Servicios Aeronauticos Z S.A. De C.V.
BIR,Birchwood Air Service
BJQ,Taxirey S.A. De C.V.
BKR,Baker Aviation Inc.
BLQ,Air Bvi Limited
BM,Belize Air International Ltd.
BMJ,Bemidji Airlines
BMT,Bremerton Aviation Inc.
BN,Britannia Airways GmbH
BNQ,NetJets Large Aircraft Company L.L.C.
BO,Air Columbus
BOA,Boise Air Service
BOI,Bo-S-Aire Airlines Inc.
BOQ,Transp. Aereos Bolivianos
BQ,Aeromar C. Por A.
BR,Eva Airways Corporation
BRK,Barken International
BRO,Brower Airways Inc.
BRQ,Thomas Cook Airlines Uk Ltd.
BRT,Continental Express
BRW,Barrow Air
BSA,Big Sky Airlines Inc.
BTQ,Brasair Transportes Aereos
BUH,Business Helicopters
BUQ,Wrangler Aviation Inc.
BUR,Burlington Airways Inc.
BW,Caribbean Airlines Limited
BX,Air Busan
BXQ,Spantax S. A.
BY,Britannia Airways Ltd.
BYA,Bay Air
BZQ,"Abaco Air, Ltd."
C1,Aerial Transit Company
C2,Challenge Air Cargo Inc.
C5,"Commutair Aka Champlain Enterprises, Inc."
C6,Canjet Airlines
C8,Cargolux Italia SpA
CA,Air China
CAC,Coleman Air Transport
CAF,California Seaboard
CAI,Crawford Aviation Inc.
CAM,C & M Airlines
CAP,Metro Air Northeast N Y
CAQ,Challenge Air Luftverkehrs GmbH
CAT,Catalina Airlines Inc.
CAV,Air Virginia
CAZ,CAT Aviation
CB,Air One Inc.
CBA,Carriba Air Inc.
CBQ,Copper River Air Taxi
CC,Air Atlanta Icelandic
CCA,Cityhop
CCD,Cascade Airways Inc.
CCO,Chester County Aviation
CCQ,Capital Cargo International
CDQ,Kitty Hawk International
CEA,Corporate Airlines
CEN,Cen-Tex Airlines Inc.
CEQ,All Canada Express
CET,Century Airlines (Cal)
CF,Compan. De Aviacion Faucett
CGA,Chicago Airlines
CGE,Chicago Express Airlines
CGL,Viking International Airlines Inc.
CGO,Chicago Air Taxi
CGQ,Aerochago S.A.
CH,Bemidji Airlines
CHA,Chautauqua Airlines Inc.
CHD,Chandler Flyer
CHE,Charter Airlines
CHF,Hammonds Commuter Air Serv.
CHI,Chitina Air Service
CHL,Channel Flying Inc.
CHO,Choi Aviation Inc.
CHQ,Nomad Aviation AG
CHS,Christman Air System
CHT,Charter One
CI,China Airlines Ltd.
CIQ,A/S Conair
CIS,Cal Sierra Airlines
CJ,Colgan Airways Inc.
CJQ,Air Caribbean
CK,China Cargo Airline
CKI,Inlet Airlines
CL,Capitol International Inc.
CLB,Columbia Pacific Airlines
CLD,Hawaii Pacific Helicopters
CLF,California Air Shuttle
CLQ,Aero Transcolombiana
CM,Compania Panamena (Copa)
CMB,Combs Airways Inc.
CMD,Command Airways Inc.
CMI,Comair Inc.
CMQ,Servicio De Carga Aerea Sa
CMR,Commuter Airlines (Ca)
CMT,"Commutair Aka Champlain Enterprises, Inc."
CNN,Centennial Airlines
CO,Continental Air Lines Inc.
COB,Cotton Belt Aviation Inc.
COC,Cochise Airlines Inc.
COK,Coker Aviation Inc.
COL,Presidential Express
COM,Commutair
COR,Coral Air Inc.
COS,Cosmopolitan Comm. Airline
COT,Southeastern Commuter
COU,Courtesy Air Service Inc.
CP,Alis Cargo Airlines S.P.A.
CPA,Capitol Air Lines
CPC,Coastal Plains Commuter Inc.
CPE,Cape Air
CPQ,Capitol Air Express Inc.
CPT,Capitol Air
CQI,Conquest Airline Corp.
CRA,Commuter Airlines
CRB,Caribair
CRE,Caribbean Express Inc.
CRH,Cresent Medivac
CRN,Crown Aviaiton Inc.
CRO,Crown Airways Inc.
CRP,Corporate Air
CRQ,Conner Air Lines Inc.
CRT,Crested Butte Air Service
CRV,Acropolis Aviation Ltd.
CS,Continental Micronesia
CSA,Casino Airlines
CSK,Catskill Airways Inc.
CSL,Central States Air Lines
CSM,Chisum Flying Service
CSN,Casino Airlines
CSQ,Celtic Tech Jet Ltd.
CSY,Cape Smythe Air Service
CT,Air Atlanta Europe Limited
CTA,Century Airlines
CTH,Cothron Aviation
CTL,Coastal Air Transport
CTQ,Custom Air Transport
CTR,Chartair
CUQ,Caicos Caribbean Airways
CUS,Custom Air Service
CV,Cargolux Airlines International S.A
CVA,Catalina-Vegas Airlines
CVQ,Caraven S.A.
CW,Air Marshall Islands Inc.
CWQ,Canadian Aviation Express
CX,Cathay Pacific Airways Ltd.
CXQ,Casino Express
CYQ,Corse Air International
CZ,China Southern Airlines
CZQ,Aviation Concepts
D7,Air Asia X Berhad dba Airasia X
D8,Norwegian Air International Ltd.
DA,Dan Air Services
DAN,Danbury Airlines
DAU,Dauphin Island Airways
DB,Maleth Aero AOC Ltd.
DBQ,Cordoba Air Cargo
DC,Caribbean Air Cargo Co Ltd.
DE,Condor Flugdienst
DEA,Downeast Airlines Inc.
DEC,Decatur Aviation
DFQ,Condor Flugdienst
DFS,Downeast Flying Service
DH,Independence Air
DHL,DHL Airlines Inc.
DHQ,DHL Aero Expresso
DI,Norwegian Air UK Limited
DIA,Drummond Island Air
DIC,Dickman Aviation Services
DIR,Northern Star
DL,Delta Air Lines Inc.
DM,Maersk Air I/S
DO,Compania Dominicana De Avia
DOL,Dolphin Airways Inc.
DOQ,Aerolineas Dominicanas S A
DPA,Desert Pacific Airways
DPI,Desert Pacific Airlines Inc.
DQ,Coastal Air Transport
DQQ,Caribwest Airways Ltd.
DRQ,Apa International Air S.A.
DSA,Desert Sun Airlines
DSQ,Discovery Airlines
DST,Desert Airlines
DUL,Dulles Express
DUZ,Summit Airlines Inc.
DVO,Devoe Airlines
DWN,Dawn Air
DXA,Dolphin Express
DY,Norwegian Air Shuttle ASA
E0,"EOS Airlines, Inc."
E3,Air Evasion
E7,Estafeta Carga Aereas
E72,European Aviation Air Charter
E8,USAfrica Airways Inc.
E9,Evelop Airlines SL
EA,Eastern Air Lines Inc.
EAI,Executive Aviation Inc.
EAQ,"Executive Airlines, SL"
EAS,Eastern Caribbean Airways
EAT,Eastman Airways Inc.
EAU,Elitavia Malta Limited
EB,WAMOS AIR SA
EBQ,Execaire Aviation Ltd.
ECA,Eagle Airlines
ECI,Eastern Carolina Aviation
ECL,Eclipse Airlines
ECQ,Trans American Charter
ECR,East Coast Airways
ED,Andes
EDE,Ede Aire
EE,Eastern Airlines Group Inc.
EET,Exec Express II
EEX,Exec Express
EEZ,Eagle Aviation Inc.
EFA,Executive Four Winds
EFQ,Trans Europ. Airways France
EG,Japan Asia Airways
EGA,Eagle Airline
EGC,Eagle Canyon Airlines d/b/a Scenic Airlines
EGJ,Eagle Jet Charter
EGL,Eagle Commuter Airlines Inc.
EH,Saeta Airlines
EHA,East Hampton Aire Inc.
EI,Aer Lingus Plc
EIA,East. Indiana Aviation Sale
EJQ,Aeroejecutivos C.A.
EK,Emirates
EKA,Air Pacific Inc.
ELL,Ellis Air Taxi Inc.
EM,Empire Airlines Inc.
EMA,Emerald Airlines
EME,Metro Express
EMP,Empire Airlines Inc.
ENT,Enterprise Airlines Inc.
EO,"Eos Airlines, Inc."
EOQ,Aeroservicios Ecuatorianos
EP,All Star Airlines Inc.
EPA,Empire Airlines Inc.
EQ,Tame Linea Aerea del Ecuador Tme EP
ER,"Astar USA, LLC"
ERA,Era Aviation
ERI,Erie Airways Inc.
ERO,Empire Aero Service
ERQ,Aero Trades (Western) Ltd.
ESQ,Seagreen Air Transport
ET,Ethiopian Airlines
EU,Ecuatoriana De Aviacion
EUQ,Air Atlanta Europe
EV,ExpressJet Airlines LLC d/b/a aha!
EVA,Evanston Aviation
EVQ,Aeroejecutivo S.A.
EW,Eurowings GmbH
EWA,Rio Grande Air
EXA,Columbia Pacific Airlines
EXC,Hapag-Lloyd Executive GmbH
EXP,Express Airlines II
EXQ,Export Air Del Peru S.A.
EXR,Executive Transport
EXT,Executive Air Charter
EY,Etihad Airways
EZ,Evergreen International Inc.
F2,Omega Air Holdings d/b/a Focus Air
F8,Freedom Airlines d/b/a HP Expr
F9,Frontier Airlines Inc.
FAA,Falwell Aviation Inc.
FAC,Falcon Airways Inc.
FAQ,Fast Air Carrier Ltd.
FAR,Federal Armored Service Inc.
FB,Translift Airways Limited
FBI,Young Flying Service
FC,Fast Colombia SAS d/b/a Viva Colombia
FCA,Southern Airlines Inc.
FCQ,Falcon Air Express
FD,Air Puerto Rico Airlines
FDA,Florida Airlines Inc.
FDM,Freedom Airlines Inc.
FDQ,Great American Airways
FE,Primaris Airlines Inc.
FED,Federal Express Corporation
FF,Tower Air Inc.
FFQ,Five Star Airlines
FFS,Frontier Flying Service
FGS,Flagship Airlines Inc.
FH,Frontier Horizon Inc.
FI,Icelandair
FJ,Air Pacific Ltd.
FL,AirTran Airways Corporation
FLA,Florida Air
FLM,Flamenco Airways Inc.
FLR,Flirite Inc.
FM,Federal Express Corporation
FNQ,Fine Airlines Inc.
FOR,Ford-Aire Inc.
FOS,Foster Aviation
FP,TAG Aviation S.A.
FQ,Air Aruba
FRA,Freedom Air
FRS,Four Star Aviation
FRT,Frontier Commuter
FRW,Farwest Airlines
FS,Serv De Trans Aereos Fuegui
FSA,F.S. Air Service
FT,Flying Tiger Line Inc.
FTI,Southern Airways
FVA,Skycraft Inc.
FW,Skybus Inc.
FWA,Far West Airlines
FX,Federal Express Corporation
FXQ,"FOX AIRCRAFT, LLC"
FYB,Flying Boat
FYQ,Flying Group Lux S.A.
G3,VRG Linhas Aereas S A
G4,Allegiant Air
G7,GoJet Airlines LLC d/b/a United Express
G9,Grant Aviation
GA,P.T. Garuda Indonesian Arwy
GAL,Galena Air Service
GAQ,Galaxy Airlines Inc.
GAS,General Aviation Inc.
GAT,Gulf Air Taxi
GAV,Gromer Aviation Inc.
GBA,Central States Airline
GBQ,G5 Executive Ag
GCA,"Global Crossing Airlines, Inc."
GCH,Grand Canyon Helicopters
GCQ,Glock Aviation GmbH
GCS,Midway Commuter
GD,Transp. Aereos Ejecutivos
GDW,Golden West Airlines Inc.
GE,Lufthansa Cargo Airlines
GEQ,"Gestair, S.A."
GF,Gulf Air Company
GFC,Gulf Flite Center
GFQ,Gulf And Caribbean Cargo
GG,"Cargo 360, Inc."
GH,Ghana Airways Corporation
GHA,Green Hills Aviation Ltd.
GIQ,Global International Airways Corp.
GJ,Eurofly S.p.A
GJQ,GainJet Ireland Ltd
GKQ,Laker Airways
GL,Miami Air International
GLA,Great Lakes Aviation Ltd.
GLF,Gulfstream Int
GLQ,Allegiant Air
GLW,Golden West Airlines Co.
GM,Air America
GMA,Green Mountain Airlines Ltd.
GOF,Copper State Airlines
GPA,GP Express Airlines
GQ,Big Sky Airlines Inc.
GR,Gemini Air Cargo Airways
GRA,Gorda Aero Service
GRD,Grand Canyon Airlines
GRO,Isle Royale Seaplane Serv.
GRT,Grant Aviation
GS,Grant Aviation
GSA,Golden Gate Airlines Inc.
GSC,GCS Air Service
GSL,Golden South Airlines Inc.
GSQ,Global Supply System
GST,Golden State Airlines
GTQ,Galistair Trading Ltd
GU,"Aviateca, S.A."
GUL,Gull Air Inc.
GUN,Gunnel Aviation Inc.
GV,Grant Aviation
GW,SkyGreece Airlines S A
GWA,Great Western Aviation
GWE,Ross Aviation Inc.
GX,Air Ontario Limited
GY,Guyana Airways Corporation
H2,City Bird
H5,Magadan Airlines
H6,Hageland Aviation Service
H7,Venture Travel LLC d/b/a Taquan Air Service
H8,Sky Airline Peru
HA,Hawaiian Airlines Inc.
HAG,Hageland Aviation Service
HAQ,Hamilton Jetport Limited
HAR,Friendship Air Alaska
HB,Homer Air
HBQ,Harris Air Services
HC,Air Senegal S.A
HCQ,Av Atlantic
HDQ,Aero Feliz
HEL,Helitrans
HEP,Hub Express
HER,Markair Express
HET,Helitac Aviation
HEU,Heussler Air Service Corp
HFQ,Haiti Air Freight Intl
HFS,Hensley Flying Service Inc.
HIQ,Business Flights Ltd.
HJ,Air Haiti S. A.
HK,Time Air Sweden Ab
HLQ,Heavylift Cargo Airlines Lt
HMZ,Long Island Airlines
HNA,Piedmont Airlines
HNQ,Haiti National Airlines
HNS,Haines Airways
HO,Mid Pacific Airlines Inc.
HOL,Holiday Airlines Inc.
HOQ,Holidair Airways
HOR,Iowa Airlines
HOZ,Horizon Air
HP,America West Airlines Inc.
HPZ,Pacific Coast Airlines
HQ,Harmony Airways
HQQ,Harlequin Air Corporation
HRA,Trans-National Airlines Haw
HRG,Heritage Airlines
HRQ,Tar Airlines
HRZ,Allegheny Airlines
HSV,Harbor Air Service
HSZ,Scenic Airlines Inc.
HU,Hainan Airlines Company Limited
HUB,Skystream Airlines
HVQ,Transavia Holland B. V.
HWK,Hawking Corporation
HX,Hong Kong Airlines Limited
HY,Uzbekistan Airways
HYA,Hyannis Aviation
HYP,Hyperion Aviation Ltd. dba Hyperion
I4,Scott Air LLC dba Island Air Express
IA,Iraqi Airways
IAS,Island Air Service
IAT,Iliamna Air Taxi
IB,Iberia Air Lines Of Spain
ICF,Iowa City Flying Service
ICH,Island Air Charters
ICQ,Iscargo Hf
IDQ,Intl Air Service Co. Ltd.
IEX,Island Air Express
IFQ,FAI rent-a-jet AG
IG,Airitaly S.P.A.
IGA,"Global Jet Austria, GmbH"
III,Idee Industries Inc.
IJ,Great Wall Airlines Company Limited
IKQ,Tradewinds Airways Ltd.
ILL,Air Illinois Inc.
IMP,Imperial Airlines Inc.
IN,Aerlinte Eireann Teoranta
INA,Inland Empire Airlines Inc.
IND,Indiana Airways Inc. (Pa)
INL,Inland Aviation Services
INQ,Independent Air Inc.
IOW,Iowa Airways
IPI,Indo-Pacific International
IPQ,Aruba Cargo
IPS,Island Express
IR,Iran National Airlines Corp
IRQ,Interstate Airlines Inc.
IS,Island Airlines Inc.
ISL,Island Airlines
ITQ,Interamericana De Aviacion
IW,Air Liberte Aka Aom Minerve
IXQ,Inair
